"nombre","web","linkedin","especialidades","ubicacion"
"snoop","https://www.snoopconsulting.com","https://www.linkedin.com/company/snoop-consulting","marketing digital, customer experience, transformación digital, ecommerce, api management, desarrollo mobile, cloud/devops, analytics, internet of things, soluciones de negocios y interfaces conversacionales.",
"soflex","https://www.soflex.com.ar","https://www.linkedin.com/company/soflex-sa","plataforma de antencion de emergencia y despacho 911, plataforma de seguimiento y logistica, plataforma de patrullaje y gestion y big data.","buenos aires"
"sofre digital","https://www.sofredigital.com.ar","https://www.linkedin.com/company/sofre-digital-sa","software developement, mobile applications, java, sql, dotnet, oracle, ibm solutions, microsoft solutions, ciena equipment, networks, business intelligence, user experience, document management, e-government, redes, cloud, transformación digital, crm, desarrollos y it.","buenos aires"
"softtek","https://www.softtek.com","https://www.linkedin.com/company/softtek","bpo, ito, nearshore, offshore, nearshore, sap, ams, application development, digital transformation, devops, automation y information security.",
"softur","https://www.softur.com.ar","https://www.linkedin.com/company/softursa","software, turismo, servicios, viajes, desarrollo y soporte.","buenos aires"
"soluciones","https://engage-sc.com.ar","https://www.linkedin.com/company/engagebusinesssolution","tecnología, procesos y estrategias.",
"soluciones group","https://solucionesgroup.com","https://www.linkedin.com/company/soluciones-informaticas-integrales","it, tecnología, taas, cloud, networking, on premise, servicios de impresion y observabilidad.","buenos aires"
"squad","https://ar.wearesquad.co","https://www.linkedin.com/company/squad.ar","crm, bpm, web development, refactoring & software evolution, software factory, cloud up, seguros y insurtech.",
"stark solution","https://www.starksolution.com.ar","https://www.linkedin.com/company/stark-solution-argentina","tecnología para asociaciones médicas, gobiernos digitales, salud y tecnología y marketplace development.","buenos aires"
"starx security","https://www.starx.com.ar","https://www.linkedin.com/company/starx-security-s.r.l.","sistemas de seguridad.","buenos aires"
"stechs","https://www.stechs.com","https://www.linkedin.com/company/stechs","telecommunications, software development, oss, digital transformation, sdn, nfv, customer experience, provisioning, orchestration, device management, service assurance, ftth, docsis, wifi y iot.","buenos aires"
"stefanini","https://stefanini.com/es","https://www.linkedin.com/company/stefaninilatam","consultoría y servicios a empresas.",
"steplix","https://steplix.com","https://www.linkedin.com/company/steplix","software development, innovation, mobile development, artificial intelligence, big data, data science, digital product development y gamification.",
